backbone,dataset,method,rank,seed,protocol,metric_type,task_type,n5_metric,r8_baseline_metric,paired_bad_diff_vs_r8,direction,n5_checkpoint,r8_checkpoint
cmpnn,esol,dora,2,1,scaffold,rmse,regression,0.821126,0.770888,0.050238000000000005,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_esol_dora_r2_cmpnn_scaffold_seed1/run_0/model_0/model.pt,dumped/baseline_esol_dora_scaffold_seed1/run_0/model_0/model.pt
cmpnn,esol,dora,2,2,scaffold,rmse,regression,1.018606,0.990898,0.027707999999999955,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_esol_dora_r2_cmpnn_scaffold_seed2/run_0/model_0/model.pt,dumped/baseline_esol_dora_scaffold_seed2/run_0/model_0/model.pt
cmpnn,esol,dora,32,0,scaffold,rmse,regression,0.748897,0.75785,-0.008952999999999989,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_esol_dora_r32_cmpnn_scaffold_seed0/run_0/model_0/model.pt,dumped/baseline_esol_dora_scaffold_seed0/run_0/model_0/model.pt
cmpnn,esol,dora,32,1,scaffold,rmse,regression,0.805035,0.770888,0.03414699999999993,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_esol_dora_r32_cmpnn_scaffold_seed1/run_0/model_0/model.pt,dumped/baseline_esol_dora_scaffold_seed1/run_0/model_0/model.pt
cmpnn,esol,dora,32,2,scaffold,rmse,regression,1.014502,0.990898,0.02360400000000007,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_esol_dora_r32_cmpnn_scaffold_seed2/run_0/model_0/model.pt,dumped/baseline_esol_dora_scaffold_seed2/run_0/model_0/model.pt
cmpnn,lipo,lora,2,0,scaffold,rmse,regression,0.648004,0.654229,-0.006224999999999925,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_lipo_lora_r2_cmpnn_scaffold_seed0/run_0/model_0/model.pt,dumped/baseline_lipo_lora_scaffold_seed0/run_0/model_0/model.pt
cmpnn,lipo,lora,2,1,scaffold,rmse,regression,0.651809,0.641112,0.010696999999999957,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_lipo_lora_r2_cmpnn_scaffold_seed1/run_0/model_0/model.pt,dumped/baseline_lipo_lora_scaffold_seed1/run_0/model_0/model.pt
cmpnn,lipo,lora,2,2,scaffold,rmse,regression,0.735029,0.653554,0.08147500000000008,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_lipo_lora_r2_cmpnn_scaffold_seed2/run_0/model_0/model.pt,dumped/baseline_lipo_lora_scaffold_seed2/run_0/model_0/model.pt
cmpnn,lipo,lora,32,0,scaffold,rmse,regression,0.614082,0.654229,-0.04014699999999993,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_lipo_lora_r32_cmpnn_scaffold_seed0/run_0/model_0/model.pt,dumped/baseline_lipo_lora_scaffold_seed0/run_0/model_0/model.pt
cmpnn,lipo,lora,32,1,scaffold,rmse,regression,0.611079,0.641112,-0.030032999999999976,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_lipo_lora_r32_cmpnn_scaffold_seed1/run_0/model_0/model.pt,dumped/baseline_lipo_lora_scaffold_seed1/run_0/model_0/model.pt
cmpnn,lipo,lora,32,2,scaffold,rmse,regression,0.681319,0.653554,0.02776500000000004,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_lipo_lora_r32_cmpnn_scaffold_seed2/run_0/model_0/model.pt,dumped/baseline_lipo_lora_scaffold_seed2/run_0/model_0/model.pt
cmpnn,lipo,dora,2,0,scaffold,rmse,regression,0.671776,0.627623,0.044153,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_lipo_dora_r2_cmpnn_scaffold_seed0/run_0/model_0/model.pt,dumped/baseline_lipo_dora_scaffold_seed0/run_0/model_0/model.pt
cmpnn,lipo,dora,2,1,scaffold,rmse,regression,0.655918,0.613169,0.04274900000000004,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_lipo_dora_r2_cmpnn_scaffold_seed1/run_0/model_0/model.pt,dumped/baseline_lipo_dora_scaffold_seed1/run_0/model_0/model.pt
cmpnn,lipo,dora,2,2,scaffold,rmse,regression,0.701003,0.665076,0.03592700000000004,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_lipo_dora_r2_cmpnn_scaffold_seed2/run_0/model_0/model.pt,dumped/baseline_lipo_dora_scaffold_seed2/run_0/model_0/model.pt
cmpnn,lipo,dora,32,0,scaffold,rmse,regression,0.628067,0.627623,0.00044399999999999995,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_lipo_dora_r32_cmpnn_scaffold_seed0/run_0/model_0/model.pt,dumped/baseline_lipo_dora_scaffold_seed0/run_0/model_0/model.pt
cmpnn,lipo,dora,32,1,scaffold,rmse,regression,0.617397,0.613169,0.0042280000000000095,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_lipo_dora_r32_cmpnn_scaffold_seed1/run_0/model_0/model.pt,dumped/baseline_lipo_dora_scaffold_seed1/run_0/model_0/model.pt
cmpnn,lipo,dora,32,2,scaffold,rmse,regression,0.678471,0.665076,0.013395000000000046,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_lipo_dora_r32_cmpnn_scaffold_seed2/run_0/model_0/model.pt,dumped/baseline_lipo_dora_scaffold_seed2/run_0/model_0/model.pt
cmpnn,bace,lora,2,0,scaffold,auc,classification,0.850044,0.852502,0.00245799999999996,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_bace_lora_r2_cmpnn_scaffold_seed0/run_0/model_0/model.pt,dumped/baseline_bace_lora_scaffold_seed0/run_0/model_0/model.pt
cmpnn,bace,lora,2,1,scaffold,auc,classification,0.906794,0.913937,0.0071430000000000105,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_bace_lora_r2_cmpnn_scaffold_seed1/run_0/model_0/model.pt,dumped/baseline_bace_lora_scaffold_seed1/run_0/model_0/model.pt
cmpnn,bace,lora,2,2,scaffold,auc,classification,0.823922,0.831373,0.007450999999999985,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_bace_lora_r2_cmpnn_scaffold_seed2/run_0/model_0/model.pt,dumped/baseline_bace_lora_scaffold_seed2/run_0/model_0/model.pt
cmpnn,bace,lora,32,0,scaffold,auc,classification,0.83266,0.852502,0.019842000000000026,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_bace_lora_r32_cmpnn_scaffold_seed0/run_0/model_0/model.pt,dumped/baseline_bace_lora_scaffold_seed0/run_0/model_0/model.pt
cmpnn,bace,lora,32,1,scaffold,auc,classification,0.89338,0.913937,0.020557000000000047,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_bace_lora_r32_cmpnn_scaffold_seed1/run_0/model_0/model.pt,dumped/baseline_bace_lora_scaffold_seed1/run_0/model_0/model.pt
cmpnn,bace,lora,32,2,scaffold,auc,classification,0.844706,0.831373,-0.013332999999999928,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_bace_lora_r32_cmpnn_scaffold_seed2/run_0/model_0/model.pt,dumped/baseline_bace_lora_scaffold_seed2/run_0/model_0/model.pt
cmpnn,bace,dora,2,0,scaffold,auc,classification,0.844601,0.853556,0.008954999999999935,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_bace_dora_r2_cmpnn_scaffold_seed0/run_0/model_0/model.pt,dumped/baseline_bace_dora_scaffold_seed0/run_0/model_0/model.pt
cmpnn,bace,dora,2,1,scaffold,auc,classification,0.900697,0.903136,0.00243900000000008,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_bace_dora_r2_cmpnn_scaffold_seed1/run_0/model_0/model.pt,dumped/baseline_bace_dora_scaffold_seed1/run_0/model_0/model.pt
cmpnn,bace,dora,2,2,scaffold,auc,classification,0.848431,0.847059,-0.0013720000000000399,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_bace_dora_r2_cmpnn_scaffold_seed2/run_0/model_0/model.pt,dumped/baseline_bace_dora_scaffold_seed2/run_0/model_0/model.pt
cmpnn,bace,dora,32,0,scaffold,auc,classification,0.84899,0.853556,0.004565999999999959,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_bace_dora_r32_cmpnn_scaffold_seed0/run_0/model_0/model.pt,dumped/baseline_bace_dora_scaffold_seed0/run_0/model_0/model.pt
cmpnn,bace,dora,32,1,scaffold,auc,classification,0.909582,0.903136,-0.006445999999999952,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_bace_dora_r32_cmpnn_scaffold_seed1/run_0/model_0/model.pt,dumped/baseline_bace_dora_scaffold_seed1/run_0/model_0/model.pt
cmpnn,bace,dora,32,2,scaffold,auc,classification,0.844902,0.847059,0.0021569999999999645,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_bace_dora_r32_cmpnn_scaffold_seed2/run_0/model_0/model.pt,dumped/baseline_bace_dora_scaffold_seed2/run_0/model_0/model.pt
cmpnn,bbbp,lora,2,0,scaffold,auc,classification,0.957752,0.958709,0.0009569999999999856,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_bbbp_lora_r2_cmpnn_scaffold_seed0/run_0/model_0/model.pt,dumped/baseline_bbbp_lora_scaffold_seed0/run_0/model_0/model.pt
cmpnn,bbbp,lora,2,1,scaffold,auc,classification,0.923636,0.913697,-0.009939000000000031,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_bbbp_lora_r2_cmpnn_scaffold_seed1/run_0/model_0/model.pt,dumped/baseline_bbbp_lora_scaffold_seed1/run_0/model_0/model.pt
cmpnn,bbbp,lora,2,2,scaffold,auc,classification,0.970091,0.943174,-0.02691700000000008,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_bbbp_lora_r2_cmpnn_scaffold_seed2/run_0/model_0/model.pt,dumped/baseline_bbbp_lora_scaffold_seed2/run_0/model_0/model.pt
cmpnn,bbbp,lora,32,0,scaffold,auc,classification,0.954881,0.958709,0.0038280000000000536,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_bbbp_lora_r32_cmpnn_scaffold_seed0/run_0/model_0/model.pt,dumped/baseline_bbbp_lora_scaffold_seed0/run_0/model_0/model.pt
cmpnn,bbbp,lora,32,1,scaffold,auc,classification,0.914788,0.913697,-0.0010910000000000641,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_bbbp_lora_r32_cmpnn_scaffold_seed1/run_0/model_0/model.pt,dumped/baseline_bbbp_lora_scaffold_seed1/run_0/model_0/model.pt
cmpnn,bbbp,lora,32,2,scaffold,auc,classification,0.954844,0.943174,-0.01167000000000007,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_bbbp_lora_r32_cmpnn_scaffold_seed2/run_0/model_0/model.pt,dumped/baseline_bbbp_lora_scaffold_seed2/run_0/model_0/model.pt
