backbone,dataset,method,rank,seed,protocol,metric_type,task_type,n5_metric,r8_baseline_metric,paired_bad_diff_vs_r8,direction,n5_checkpoint,r8_checkpoint
cmpnn,esol,dora,4,1,scaffold,rmse,regression,0.770604,0.770888,-0.000284000000000062,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_esol_dora_r4_cmpnn_scaffold_seed1/run_0/model_0/model.pt,dumped/baseline_esol_dora_scaffold_seed1/run_0/model_0/model.pt
cmpnn,esol,dora,4,2,scaffold,rmse,regression,1.010909,0.990898,0.020011000000000112,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_esol_dora_r4_cmpnn_scaffold_seed2/run_0/model_0/model.pt,dumped/baseline_esol_dora_scaffold_seed2/run_0/model_0/model.pt
cmpnn,esol,dora,16,0,scaffold,rmse,regression,0.720783,0.75785,-0.03706700000000007,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_esol_dora_r16_cmpnn_scaffold_seed0/run_0/model_0/model.pt,dumped/baseline_esol_dora_scaffold_seed0/run_0/model_0/model.pt
cmpnn,esol,dora,16,1,scaffold,rmse,regression,0.791902,0.770888,0.021013999999999977,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_esol_dora_r16_cmpnn_scaffold_seed1/run_0/model_0/model.pt,dumped/baseline_esol_dora_scaffold_seed1/run_0/model_0/model.pt
cmpnn,esol,dora,16,2,scaffold,rmse,regression,1.023283,0.990898,0.032385,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_esol_dora_r16_cmpnn_scaffold_seed2/run_0/model_0/model.pt,dumped/baseline_esol_dora_scaffold_seed2/run_0/model_0/model.pt
cmpnn,lipo,lora,4,0,scaffold,rmse,regression,0.604196,0.654229,-0.050032999999999994,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_lipo_lora_r4_cmpnn_scaffold_seed0/run_0/model_0/model.pt,dumped/baseline_lipo_lora_scaffold_seed0/run_0/model_0/model.pt
cmpnn,lipo,lora,4,1,scaffold,rmse,regression,0.613157,0.641112,-0.027955000000000063,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_lipo_lora_r4_cmpnn_scaffold_seed1/run_0/model_0/model.pt,dumped/baseline_lipo_lora_scaffold_seed1/run_0/model_0/model.pt
cmpnn,lipo,lora,4,2,scaffold,rmse,regression,0.711737,0.653554,0.058182999999999985,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_lipo_lora_r4_cmpnn_scaffold_seed2/run_0/model_0/model.pt,dumped/baseline_lipo_lora_scaffold_seed2/run_0/model_0/model.pt
cmpnn,lipo,lora,16,0,scaffold,rmse,regression,0.643313,0.654229,-0.010915999999999926,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_lipo_lora_r16_cmpnn_scaffold_seed0/run_0/model_0/model.pt,dumped/baseline_lipo_lora_scaffold_seed0/run_0/model_0/model.pt
cmpnn,lipo,lora,16,1,scaffold,rmse,regression,0.636228,0.641112,-0.0048839999999999995,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_lipo_lora_r16_cmpnn_scaffold_seed1/run_0/model_0/model.pt,dumped/baseline_lipo_lora_scaffold_seed1/run_0/model_0/model.pt
cmpnn,lipo,lora,16,2,scaffold,rmse,regression,0.6805,0.653554,0.026946000000000025,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_lipo_lora_r16_cmpnn_scaffold_seed2/run_0/model_0/model.pt,dumped/baseline_lipo_lora_scaffold_seed2/run_0/model_0/model.pt
cmpnn,lipo,dora,4,0,scaffold,rmse,regression,0.613745,0.627623,-0.013878000000000057,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_lipo_dora_r4_cmpnn_scaffold_seed0/run_0/model_0/model.pt,dumped/baseline_lipo_dora_scaffold_seed0/run_0/model_0/model.pt
cmpnn,lipo,dora,4,1,scaffold,rmse,regression,0.615936,0.613169,0.002767000000000075,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_lipo_dora_r4_cmpnn_scaffold_seed1/run_0/model_0/model.pt,dumped/baseline_lipo_dora_scaffold_seed1/run_0/model_0/model.pt
cmpnn,lipo,dora,4,2,scaffold,rmse,regression,0.703981,0.665076,0.03890499999999997,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_lipo_dora_r4_cmpnn_scaffold_seed2/run_0/model_0/model.pt,dumped/baseline_lipo_dora_scaffold_seed2/run_0/model_0/model.pt
cmpnn,lipo,dora,16,0,scaffold,rmse,regression,0.61831,0.627623,-0.009313000000000016,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_lipo_dora_r16_cmpnn_scaffold_seed0/run_0/model_0/model.pt,dumped/baseline_lipo_dora_scaffold_seed0/run_0/model_0/model.pt
cmpnn,lipo,dora,16,1,scaffold,rmse,regression,0.642188,0.613169,0.029019000000000017,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_lipo_dora_r16_cmpnn_scaffold_seed1/run_0/model_0/model.pt,dumped/baseline_lipo_dora_scaffold_seed1/run_0/model_0/model.pt
cmpnn,lipo,dora,16,2,scaffold,rmse,regression,0.678713,0.665076,0.01363700000000001,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_lipo_dora_r16_cmpnn_scaffold_seed2/run_0/model_0/model.pt,dumped/baseline_lipo_dora_scaffold_seed2/run_0/model_0/model.pt
cmpnn,bace,lora,4,0,scaffold,auc,classification,0.867603,0.852502,-0.015101000000000031,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_bace_lora_r4_cmpnn_scaffold_seed0/run_0/model_0/model.pt,dumped/baseline_bace_lora_scaffold_seed0/run_0/model_0/model.pt
cmpnn,bace,lora,4,1,scaffold,auc,classification,0.920383,0.913937,-0.006445999999999952,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_bace_lora_r4_cmpnn_scaffold_seed1/run_0/model_0/model.pt,dumped/baseline_bace_lora_scaffold_seed1/run_0/model_0/model.pt
cmpnn,bace,lora,4,2,scaffold,auc,classification,0.833922,0.831373,-0.0025490000000000235,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_bace_lora_r4_cmpnn_scaffold_seed2/run_0/model_0/model.pt,dumped/baseline_bace_lora_scaffold_seed2/run_0/model_0/model.pt
cmpnn,bace,lora,16,0,scaffold,auc,classification,0.852502,0.852502,0.0,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_bace_lora_r16_cmpnn_scaffold_seed0/run_0/model_0/model.pt,dumped/baseline_bace_lora_scaffold_seed0/run_0/model_0/model.pt
cmpnn,bace,lora,16,1,scaffold,auc,classification,0.897038,0.913937,0.016898999999999997,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_bace_lora_r16_cmpnn_scaffold_seed1/run_0/model_0/model.pt,dumped/baseline_bace_lora_scaffold_seed1/run_0/model_0/model.pt
cmpnn,bace,lora,16,2,scaffold,auc,classification,0.836863,0.831373,-0.005489999999999995,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_bace_lora_r16_cmpnn_scaffold_seed2/run_0/model_0/model.pt,dumped/baseline_bace_lora_scaffold_seed2/run_0/model_0/model.pt
cmpnn,bace,dora,4,0,scaffold,auc,classification,0.873047,0.853556,-0.019491000000000036,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_bace_dora_r4_cmpnn_scaffold_seed0/run_0/model_0/model.pt,dumped/baseline_bace_dora_scaffold_seed0/run_0/model_0/model.pt
cmpnn,bace,dora,4,1,scaffold,auc,classification,0.900348,0.903136,0.0027880000000000127,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_bace_dora_r4_cmpnn_scaffold_seed1/run_0/model_0/model.pt,dumped/baseline_bace_dora_scaffold_seed1/run_0/model_0/model.pt
cmpnn,bace,dora,4,2,scaffold,auc,classification,0.836863,0.847059,0.010195999999999983,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_bace_dora_r4_cmpnn_scaffold_seed2/run_0/model_0/model.pt,dumped/baseline_bace_dora_scaffold_seed2/run_0/model_0/model.pt
cmpnn,bace,dora,16,0,scaffold,auc,classification,0.855663,0.853556,-0.00210699999999997,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_bace_dora_r16_cmpnn_scaffold_seed0/run_0/model_0/model.pt,dumped/baseline_bace_dora_scaffold_seed0/run_0/model_0/model.pt
cmpnn,bace,dora,16,1,scaffold,auc,classification,0.896341,0.903136,0.0067949999999999955,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_bace_dora_r16_cmpnn_scaffold_seed1/run_0/model_0/model.pt,dumped/baseline_bace_dora_scaffold_seed1/run_0/model_0/model.pt
cmpnn,bace,dora,16,2,scaffold,auc,classification,0.836471,0.847059,0.010588000000000042,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_bace_dora_r16_cmpnn_scaffold_seed2/run_0/model_0/model.pt,dumped/baseline_bace_dora_scaffold_seed2/run_0/model_0/model.pt
cmpnn,bbbp,lora,4,0,scaffold,auc,classification,0.955291,0.958709,0.003418000000000032,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_bbbp_lora_r4_cmpnn_scaffold_seed0/run_0/model_0/model.pt,dumped/baseline_bbbp_lora_scaffold_seed0/run_0/model_0/model.pt
cmpnn,bbbp,lora,4,1,scaffold,auc,classification,0.903091,0.913697,0.010606000000000004,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_bbbp_lora_r4_cmpnn_scaffold_seed1/run_0/model_0/model.pt,dumped/baseline_bbbp_lora_scaffold_seed1/run_0/model_0/model.pt
cmpnn,bbbp,lora,4,2,scaffold,auc,classification,0.947338,0.943174,-0.0041640000000000565,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_bbbp_lora_r4_cmpnn_scaffold_seed2/run_0/model_0/model.pt,dumped/baseline_bbbp_lora_scaffold_seed2/run_0/model_0/model.pt
cmpnn,bbbp,lora,16,0,scaffold,auc,classification,0.956385,0.958709,0.0023239999999999927,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_bbbp_lora_r16_cmpnn_scaffold_seed0/run_0/model_0/model.pt,dumped/baseline_bbbp_lora_scaffold_seed0/run_0/model_0/model.pt
cmpnn,bbbp,lora,16,1,scaffold,auc,classification,0.920364,0.913697,-0.0066669999999999785,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_bbbp_lora_r16_cmpnn_scaffold_seed1/run_0/model_0/model.pt,dumped/baseline_bbbp_lora_scaffold_seed1/run_0/model_0/model.pt
cmpnn,bbbp,lora,16,2,scaffold,auc,classification,0.939479,0.943174,0.003695000000000004,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_bbbp_lora_r16_cmpnn_scaffold_seed2/run_0/model_0/model.pt,dumped/baseline_bbbp_lora_scaffold_seed2/run_0/model_0/model.pt
cmpnn,bbbp,dora,4,0,scaffold,auc,classification,0.953787,0.956385,0.002597999999999989,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_bbbp_dora_r4_cmpnn_scaffold_seed0/run_0/model_0/model.pt,dumped/baseline_bbbp_dora_scaffold_seed0/run_0/model_0/model.pt
cmpnn,bbbp,dora,4,1,scaffold,auc,classification,0.914545,0.916727,0.0021819999999999062,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_bbbp_dora_r4_cmpnn_scaffold_seed1/run_0/model_0/model.pt,dumped/baseline_bbbp_dora_scaffold_seed1/run_0/model_0/model.pt
cmpnn,bbbp,dora,4,2,scaffold,auc,classification,0.972555,0.93989,-0.032664999999999944,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_bbbp_dora_r4_cmpnn_scaffold_seed2/run_0/model_0/model.pt,dumped/baseline_bbbp_dora_scaffold_seed2/run_0/model_0/model.pt
cmpnn,bbbp,dora,16,0,scaffold,auc,classification,0.951463,0.956385,0.004922000000000093,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_bbbp_dora_r16_cmpnn_scaffold_seed0/run_0/model_0/model.pt,dumped/baseline_bbbp_dora_scaffold_seed0/run_0/model_0/model.pt
cmpnn,bbbp,dora,16,1,scaffold,auc,classification,0.924121,0.916727,-0.007394000000000012,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_bbbp_dora_r16_cmpnn_scaffold_seed1/run_0/model_0/model.pt,dumped/baseline_bbbp_dora_scaffold_seed1/run_0/model_0/model.pt
cmpnn,bbbp,dora,16,2,scaffold,auc,classification,0.953437,0.93989,-0.013546999999999976,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_bbbp_dora_r16_cmpnn_scaffold_seed2/run_0/model_0/model.pt,dumped/baseline_bbbp_dora_scaffold_seed2/run_0/model_0/model.pt
cmpnn,sider,lora,4,0,scaffold,auc,classification,0.626928,0.562181,-0.064747,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_sider_lora_r4_cmpnn_scaffold_seed0/run_0/model_0/model.pt,dumped/baseline_sider_lora_scaffold_seed0/run_0/model_0/model.pt
cmpnn,sider,lora,4,1,scaffold,auc,classification,0.612613,0.619716,0.0071030000000000815,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_sider_lora_r4_cmpnn_scaffold_seed1/run_0/model_0/model.pt,dumped/baseline_sider_lora_scaffold_seed1/run_0/model_0/model.pt
cmpnn,sider,lora,4,2,scaffold,auc,classification,0.575125,0.594403,0.019278000000000017,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_sider_lora_r4_cmpnn_scaffold_seed2/run_0/model_0/model.pt,dumped/baseline_sider_lora_scaffold_seed2/run_0/model_0/model.pt
cmpnn,sider,lora,16,0,scaffold,auc,classification,0.625144,0.562181,-0.06296299999999999,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_sider_lora_r16_cmpnn_scaffold_seed0/run_0/model_0/model.pt,dumped/baseline_sider_lora_scaffold_seed0/run_0/model_0/model.pt
cmpnn,sider,lora,16,1,scaffold,auc,classification,0.591504,0.619716,0.028212000000000015,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_sider_lora_r16_cmpnn_scaffold_seed1/run_0/model_0/model.pt,dumped/baseline_sider_lora_scaffold_seed1/run_0/model_0/model.pt
cmpnn,sider,lora,16,2,scaffold,auc,classification,0.597068,0.594403,-0.0026650000000000285,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_sider_lora_r16_cmpnn_scaffold_seed2/run_0/model_0/model.pt,dumped/baseline_sider_lora_scaffold_seed2/run_0/model_0/model.pt
cmpnn,sider,dora,4,0,scaffold,auc,classification,0.61593,0.608458,-0.007471999999999923,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_sider_dora_r4_cmpnn_scaffold_seed0/run_0/model_0/model.pt,dumped/baseline_sider_dora_scaffold_seed0/run_0/model_0/model.pt
cmpnn,sider,dora,4,1,scaffold,auc,classification,0.605326,0.613473,0.008147000000000015,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_sider_dora_r4_cmpnn_scaffold_seed1/run_0/model_0/model.pt,dumped/baseline_sider_dora_scaffold_seed1/run_0/model_0/model.pt
cmpnn,sider,dora,4,2,scaffold,auc,classification,0.569548,0.587158,0.017609999999999904,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_sider_dora_r4_cmpnn_scaffold_seed2/run_0/model_0/model.pt,dumped/baseline_sider_dora_scaffold_seed2/run_0/model_0/model.pt
