backbone,dataset,seed,task_type,metric_type,lora_metric,dora_metric,paired_bad_diff,direction
chemberta2,sider,10,classification,auc,0.5816867470078981,0.5832973456641007,-0.0016105986562026109,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
chemberta2,sider,100,classification,auc,0.621497535721501,0.621505620260394,-8.084538893005089e-06,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
chemberta2,sider,1000,classification,auc,0.6010809068215406,0.6013695002912244,-0.0002885934696837955,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
molformer_c3,freesolv,10,regression,rmse,1.6735806899869563,1.7106980108277083,0.03711732084075203,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
molformer_c3,freesolv,100,regression,rmse,1.661293771022177,1.8682911057454337,0.20699733472325677,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
molformer_c3,freesolv,1000,regression,rmse,1.6545870367716555,1.5011156224975888,-0.15347141427406674,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
molformer_c3,esol,10,regression,rmse,0.927252361161925,1.0114263752774155,0.08417401411549053,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
molformer_c3,esol,100,regression,rmse,0.9008470813950181,0.8638145215106261,-0.037032559884392025,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
molformer_c3,esol,1000,regression,rmse,0.8732351147103522,0.8371979667006442,-0.03603714800970803,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
molformer_c3,lipo,10,regression,rmse,0.7938935848337749,0.7401082678799124,-0.05378531695386257,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
molformer_c3,lipo,100,regression,rmse,0.7381967163130725,0.728517834043861,-0.009678882269211542,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
molformer_c3,lipo,1000,regression,rmse,0.7279026838144915,0.7246125007829313,-0.0032901830315602565,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
molformer_c3,bace,10,classification,auc,0.8236538461538462,0.8238461538461539,-0.00019230769230771383,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
molformer_c3,bace,100,classification,auc,0.7489583333333333,0.7741319444444444,-0.02517361111111116,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
molformer_c3,bace,1000,classification,auc,0.8934511434511434,0.8972626472626473,-0.003811503811503858,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
molformer_c3,bbbp,10,classification,auc,0.9581425768476128,0.9528013952474385,0.005341181600174383,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
molformer_c3,bbbp,100,classification,auc,0.959030303030303,0.9613333333333334,-0.0023030303030303623,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
molformer_c3,bbbp,1000,classification,auc,0.9582933844678811,0.9593720038350911,-0.0010786193672099875,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
molformer_c3,sider,10,classification,auc,0.6297738213185036,0.6203160112449795,0.009457810073524087,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
molformer_c3,sider,100,classification,auc,0.6204149989186588,0.6446733709817264,-0.02425837206306758,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
molformer_c3,sider,1000,classification,auc,0.597132137279314,0.6083418051821192,-0.011209667902805198,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
