backbone,protocol,dataset,seed,method_pair,task_type,metric_type,fullft_metric,peft_metric,fullft_bad_minus_peft_bad,direction
cmpnn,random,lipo,2,fullft_vs_dora,regression,rmse,0.531596,0.57863,-0.04703400000000002,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,lipo,10,fullft_vs_lora,regression,rmse,0.571793,0.609627,-0.037834000000000034,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,lipo,10,fullft_vs_dora,regression,rmse,0.571793,0.607475,-0.03568199999999999,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,lipo,100,fullft_vs_lora,regression,rmse,0.559427,0.559952,-0.0005249999999999977,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,lipo,100,fullft_vs_dora,regression,rmse,0.559427,0.558719,0.0007080000000000419,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,lipo,1000,fullft_vs_lora,regression,rmse,0.650971,0.683101,-0.03212999999999999,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,lipo,1000,fullft_vs_dora,regression,rmse,0.650971,0.690526,-0.03955500000000001,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,bace,0,fullft_vs_lora,classification,auc,0.938638,0.938638,0.0,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,bace,0,fullft_vs_dora,classification,auc,0.938638,0.93015,-0.00848799999999994,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,bace,1,fullft_vs_lora,classification,auc,0.823027,0.859937,0.03691,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,bace,1,fullft_vs_dora,classification,auc,0.823027,0.859056,0.03602900000000009,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,bace,2,fullft_vs_lora,classification,auc,0.865025,0.836738,-0.028287000000000062,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,bace,2,fullft_vs_dora,classification,auc,0.865025,0.871137,0.006112000000000006,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,bace,10,fullft_vs_lora,classification,auc,0.907213,0.908789,0.0015759999999999108,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,bace,10,fullft_vs_dora,classification,auc,0.907213,0.924545,0.017331999999999903,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,bace,100,fullft_vs_lora,classification,auc,0.845122,0.841289,-0.0038330000000000863,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,bace,100,fullft_vs_dora,classification,auc,0.845122,0.852787,0.007664999999999922,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,bace,1000,fullft_vs_lora,classification,auc,0.89553,0.891026,-0.0045040000000000635,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,bace,1000,fullft_vs_dora,classification,auc,0.89553,0.887734,-0.007796000000000025,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,bbbp,0,fullft_vs_lora,classification,auc,0.945427,0.951677,0.006249999999999978,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,bbbp,0,fullft_vs_dora,classification,auc,0.945427,0.952896,0.007468999999999948,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,bbbp,1,fullft_vs_lora,classification,auc,0.960685,0.944515,-0.016170000000000018,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,bbbp,1,fullft_vs_dora,classification,auc,0.960685,0.952124,-0.00856100000000004,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,bbbp,2,fullft_vs_lora,classification,auc,0.971692,0.96761,-0.00408200000000003,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,bbbp,2,fullft_vs_dora,classification,auc,0.971692,0.97235,0.0006580000000000474,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,bbbp,10,fullft_vs_lora,classification,auc,0.973432,0.970843,-0.0025889999999999525,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,bbbp,10,fullft_vs_dora,classification,auc,0.973432,0.970168,-0.0032639999999999336,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,bbbp,100,fullft_vs_lora,classification,auc,0.935815,0.926596,-0.009218999999999977,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,bbbp,100,fullft_vs_dora,classification,auc,0.935815,0.93664,0.0008250000000000757,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,bbbp,1000,fullft_vs_lora,classification,auc,0.980256,0.966903,-0.01335300000000006,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,bbbp,1000,fullft_vs_dora,classification,auc,0.980256,0.968608,-0.011647999999999992,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,sider,0,fullft_vs_lora,classification,auc,0.69383,0.691534,-0.0022959999999999647,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,sider,0,fullft_vs_dora,classification,auc,0.69383,0.691962,-0.0018679999999999808,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
