backbone,dataset,method,seed,protocol,task_type,metric_type,final_metric,status,epochs_completed,epochs_requested,batch_size,lr,weight_decay,trainable_params,elapsed_sec,peak_mib,checkpoint_path,checkpoint_exists,training_log
cmpnn,bbbp,fullft,0,random,classification,auc,0.945427,PASS,47,50,50,0.001,0.0,1888801,,,dumped/baseline_bbbp_fullft_cmpnn_random_seed0/run_0/model_0/model.pt,True,logs/baseline_bbbp_fullft_cmpnn_random/seed0/training.log
cmpnn,bbbp,fullft,1,random,classification,auc,0.960685,PASS,44,50,50,0.001,0.0,1888801,,,dumped/baseline_bbbp_fullft_cmpnn_random_seed1/run_0/model_0/model.pt,True,logs/baseline_bbbp_fullft_cmpnn_random/seed1/training.log
cmpnn,bbbp,fullft,2,random,classification,auc,0.971692,PASS,38,50,50,0.001,0.0,1888801,,,dumped/baseline_bbbp_fullft_cmpnn_random_seed2/run_0/model_0/model.pt,True,logs/baseline_bbbp_fullft_cmpnn_random/seed2/training.log
cmpnn,bbbp,fullft,10,random,classification,auc,0.973432,PASS,48,50,50,0.001,0.0,1888801,,,dumped/baseline_bbbp_fullft_cmpnn_random_seed10/run_0/model_0/model.pt,True,logs/baseline_bbbp_fullft_cmpnn_random/seed10/training.log
cmpnn,bbbp,fullft,100,random,classification,auc,0.935815,PASS,38,50,50,0.001,0.0,1888801,,,dumped/baseline_bbbp_fullft_cmpnn_random_seed100/run_0/model_0/model.pt,True,logs/baseline_bbbp_fullft_cmpnn_random/seed100/training.log
cmpnn,bbbp,fullft,1000,random,classification,auc,0.980256,PASS,44,50,50,0.001,0.0,1888801,,,dumped/baseline_bbbp_fullft_cmpnn_random_seed1000/run_0/model_0/model.pt,True,logs/baseline_bbbp_fullft_cmpnn_random/seed1000/training.log
cmpnn,sider,fullft,0,random,classification,auc,0.69383,PASS,50,50,50,0.001,0.0,1896627,,,dumped/baseline_sider_fullft_cmpnn_random_seed0/run_0/model_0/model.pt,True,logs/baseline_sider_fullft_cmpnn_random/seed0/training.log
cmpnn,sider,fullft,1,random,classification,auc,0.621924,PASS,37,50,50,0.001,0.0,1896627,,,dumped/baseline_sider_fullft_cmpnn_random_seed1/run_0/model_0/model.pt,True,logs/baseline_sider_fullft_cmpnn_random/seed1/training.log
cmpnn,sider,fullft,2,random,classification,auc,0.620612,PASS,49,50,50,0.001,0.0,1896627,,,dumped/baseline_sider_fullft_cmpnn_random_seed2/run_0/model_0/model.pt,True,logs/baseline_sider_fullft_cmpnn_random/seed2/training.log
cmpnn,sider,fullft,10,random,classification,auc,0.638763,PASS,39,50,50,0.001,0.0,1896627,,,dumped/baseline_sider_fullft_cmpnn_random_seed10/run_0/model_0/model.pt,True,logs/baseline_sider_fullft_cmpnn_random/seed10/training.log
