backbone,dataset,seed,task_type,metric_type,lora_metric,dora_metric,paired_bad_diff,direction
molformer_c3,freesolv,1,regression,rmse,3.048959498290654,3.185688326728035,0.1367288284373811,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
molformer_c3,freesolv,2,regression,rmse,1.7749547979482525,1.5082239567983509,-0.26673084114990164,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
molformer_c3,esol,0,regression,rmse,0.8471421823232395,0.8032846537029855,-0.04385752862025394,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
molformer_c3,esol,1,regression,rmse,0.954651438879548,1.0358808752265953,0.08122943634704738,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
molformer_c3,esol,2,regression,rmse,0.9357313320714231,0.9269931120673182,-0.008738220004104957,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
molformer_c3,lipo,0,regression,rmse,0.7138818825436888,0.6747392106481535,-0.03914267189553533,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
molformer_c3,lipo,1,regression,rmse,0.7547963081727462,0.7523448369700659,-0.0024514712026803,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
molformer_c3,lipo,2,regression,rmse,0.7095989579567252,0.7306481615348694,0.021049203578144215,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
molformer_c3,bace,0,classification,auc,0.7952589991220369,0.7759438103599648,0.019315188762072055,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
molformer_c3,bace,1,classification,auc,0.8949477351916376,0.8879790940766551,0.006968641114982521,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
molformer_c3,bace,2,classification,auc,0.8011764705882353,0.8037254901960784,-0.0025490196078431504,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
molformer_c3,bbbp,0,classification,auc,0.9588460486737763,0.9641782882143833,-0.00533223954060702,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
molformer_c3,bbbp,1,classification,auc,0.945939393939394,0.9461818181818182,-0.0002424242424242662,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
molformer_c3,bbbp,2,classification,auc,0.983814215341309,0.9836969270466808,0.00011728829462820389,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
molformer_c3,sider,0,classification,auc,0.5764097098433578,0.5739636256738426,0.0024460841695151947,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
molformer_c3,sider,1,classification,auc,0.607502351005624,0.6017814184908042,0.005720932514819754,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
molformer_c3,sider,2,classification,auc,0.5494050441400998,0.550279131560163,-0.0008740874200631188,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
