backbone,dataset,seed,seed_group,task_type,metric_type,lora_metric,dora_metric,paired_bad_diff,direction
cmpnn,sider,1,existing_0_1_2,classification,auc,0.644994,0.645643,-0.0006490000000000107,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
cmpnn,sider,2,existing_0_1_2,classification,auc,0.593275,0.592096,0.0011790000000000411,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
cmpnn,sider,10,new_10_100_1000,classification,auc,0.600819,0.636511,-0.03569200000000006,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
cmpnn,sider,100,new_10_100_1000,classification,auc,0.645073,0.650175,-0.00510199999999994,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
cmpnn,sider,1000,new_10_100_1000,classification,auc,0.616057,0.629271,-0.013214000000000059,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
chemberta2,freesolv,0,existing_0_1_2,regression,rmse,1.2400031407378014,1.2407933214669495,0.00079018072914816,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
chemberta2,freesolv,1,existing_0_1_2,regression,rmse,1.0145382275173243,1.012080418810385,-0.002457808706939346,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
chemberta2,freesolv,2,existing_0_1_2,regression,rmse,1.7110530169782585,1.703108061260018,-0.007944955718240498,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
chemberta2,freesolv,10,new_10_100_1000,regression,rmse,1.264076368635413,1.2674236467978421,0.0033472781624290793,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
chemberta2,freesolv,100,new_10_100_1000,regression,rmse,0.9103476196282245,0.9060015502268011,-0.004346069401423458,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
chemberta2,freesolv,1000,new_10_100_1000,regression,rmse,1.5318901125389286,1.5241437008759378,-0.0077464116629908375,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
chemberta2,esol,0,existing_0_1_2,regression,rmse,0.7701278929579429,0.8071259523350363,0.03699805937709333,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
chemberta2,esol,1,existing_0_1_2,regression,rmse,0.7244615429714457,0.7239197279335984,-0.0005418150378473374,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
chemberta2,esol,2,existing_0_1_2,regression,rmse,0.7027191898386811,0.6964969191007258,-0.006222270737955338,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
