backbone,dataset,method,lora_alpha,seed,protocol,metric_type,task_type,n7_metric,alpha16_baseline_metric,paired_bad_diff_vs_alpha16,direction,n7_checkpoint,alpha16_baseline_checkpoint
cmpnn,esol,lora,8,2,random,rmse,regression,0.60408,0.570915,0.033165,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_esol_lora_alpha8_seed2/run_0/model_0/model.pt,dumped/baseline_esol_lora_seed2/run_0/model_0/model.pt
cmpnn,esol,lora,32,0,random,rmse,regression,0.682504,0.67049,0.01201399999999997,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_esol_lora_alpha32_seed0/run_0/model_0/model.pt,dumped/baseline_esol_lora_seed0/run_0/model_0/model.pt
cmpnn,esol,lora,32,1,random,rmse,regression,0.580532,0.611754,-0.031221999999999972,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_esol_lora_alpha32_seed1/run_0/model_0/model.pt,dumped/baseline_esol_lora_seed1/run_0/model_0/model.pt
cmpnn,esol,lora,32,2,random,rmse,regression,0.525125,0.570915,-0.04579,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_esol_lora_alpha32_seed2/run_0/model_0/model.pt,dumped/baseline_esol_lora_seed2/run_0/model_0/model.pt
cmpnn,esol,dora,8,0,random,rmse,regression,0.688611,0.67649,0.012120999999999937,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_esol_dora_alpha8_seed0/run_0/model_0/model.pt,dumped/baseline_esol_dora_seed0/run_0/model_0/model.pt
cmpnn,esol,dora,8,1,random,rmse,regression,0.627476,0.613644,0.013832000000000066,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_esol_dora_alpha8_seed1/run_0/model_0/model.pt,dumped/baseline_esol_dora_seed1/run_0/model_0/model.pt
cmpnn,esol,dora,8,2,random,rmse,regression,0.598702,0.571751,0.026950999999999947,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_esol_dora_alpha8_seed2/run_0/model_0/model.pt,dumped/baseline_esol_dora_seed2/run_0/model_0/model.pt
cmpnn,esol,dora,32,0,random,rmse,regression,0.645847,0.67649,-0.030643000000000087,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_esol_dora_alpha32_seed0/run_0/model_0/model.pt,dumped/baseline_esol_dora_seed0/run_0/model_0/model.pt
cmpnn,esol,dora,32,1,random,rmse,regression,0.593166,0.613644,-0.020477999999999996,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_esol_dora_alpha32_seed1/run_0/model_0/model.pt,dumped/baseline_esol_dora_seed1/run_0/model_0/model.pt
cmpnn,esol,dora,32,2,random,rmse,regression,0.534126,0.571751,-0.03762500000000002,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_esol_dora_alpha32_seed2/run_0/model_0/model.pt,dumped/baseline_esol_dora_seed2/run_0/model_0/model.pt
