dataset,method,seed,final_epoch,split,layer,top1_energy,top4_energy,top8_energy,erank_norm,spectral_entropy_norm,alignment_A4,alignment_A8,final_snapshot_loss,logit_mean,logit_std,logit_min,logit_max,sha256_integrity_pass,checkpoint_sha256,matrix_rows,matrix_cols,curve_final_epoch,final_val_loss,final_val_metric,final_val_metric_name,final_train_loss,rank1_final
bbbp,DoRA,0,30,val_first_batch,encoder.layers.11.self_attn.linear_k,0.5888225102366808,0.8557598481838105,0.957925543180552,0.0494905705696443,0.5475514364793013,0.0004028361704804,0.0023287350973406,0.0090423105284571,7.3984375,3.070014238357544,2.9375,13.0,True,5b9241630f1cf0b173fb06d1e76096e5daf5f91c3e51b066ba69524dafe60e35,768,768,30,0.9949441629736472,0.8601495430628635,AUROC,0.2016939795171021,False
bbbp,DoRA,0,30,val_first_batch,encoder.layers.11.self_attn.linear_q,0.9811893952012624,0.98910694660499,0.9933440963961108,0.0475990612549367,0.5416859410402268,0.0048025599914069,0.006348489043379,0.0090423105284571,7.3984375,3.070014238357544,2.9375,13.0,True,5b9241630f1cf0b173fb06d1e76096e5daf5f91c3e51b066ba69524dafe60e35,768,768,30,0.9949441629736472,0.8601495430628635,AUROC,0.2016939795171021,False
bbbp,DoRA,0,30,val_first_batch,encoder.layers.11.self_attn.linear_v,0.7270577191098239,0.9474002155608652,0.983470124253332,0.0620412735266062,0.5815708315532064,0.0006354362808606,0.0045076655387417,0.0090423105284571,7.3984375,3.070014238357544,2.9375,13.0,True,5b9241630f1cf0b173fb06d1e76096e5daf5f91c3e51b066ba69524dafe60e35,768,768,30,0.9949441629736472,0.8601495430628635,AUROC,0.2016939795171021,False
bbbp,DoRA,1,30,val_first_batch,encoder.layers.11.self_attn.linear_k,0.6272756659567477,0.9326806306316692,0.9763410706559792,0.0370199789606818,0.5038528200683652,0.0011588778353133,0.0033728121894538,0.0438008345663547,6.79638671875,2.7633485794067383,0.93359375,9.75,True,5b9241630f1cf0b173fb06d1e76096e5daf5f91c3e51b066ba69524dafe60e35,768,768,30,0.6218982144530926,0.909375,AUROC,0.1942813963403786,False
bbbp,DoRA,1,30,val_first_batch,encoder.layers.11.self_attn.linear_q,0.9893570602801504,0.9933437962533348,0.9951922891777172,0.036582527732225,0.5020636308793738,0.0002962670485475,0.0013245530898547,0.0438008345663547,6.79638671875,2.7633485794067383,0.93359375,9.75,True,5b9241630f1cf0b173fb06d1e76096e5daf5f91c3e51b066ba69524dafe60e35,768,768,30,0.6218982144530926,0.909375,AUROC,0.1942813963403786,False
bbbp,DoRA,1,30,val_first_batch,encoder.layers.11.self_attn.linear_v,0.7438694989346125,0.942531664246858,0.9864011531493178,0.046446816092909,0.5379975158482765,0.001958089765543,0.0074069969113203,0.0438008345663547,6.79638671875,2.7633485794067383,0.93359375,9.75,True,5b9241630f1cf0b173fb06d1e76096e5daf5f91c3e51b066ba69524dafe60e35,768,768,30,0.6218982144530926,0.909375,AUROC,0.1942813963403786,False
bbbp,DoRA,2,30,val_first_batch,encoder.layers.11.self_attn.linear_k,0.3674583200974309,0.7016665911321335,0.8910806593609986,0.0530007226590038,0.5578653376413023,0.0002578349319911,0.0013756178608258,0.3109021186828613,6.8828125,4.21969747543335,-2.375,11.6875,True,5b9241630f1cf0b173fb06d1e76096e5daf5f91c3e51b066ba69524dafe60e35,768,768,30,0.5600699615919998,0.9045280960174578,AUROC,0.1712677223087007,False
bbbp,DoRA,2,30,val_first_batch,encoder.layers.11.self_attn.linear_q,0.9927149463949893,0.9951058844415692,0.9960276082581362,0.0434558413599973,0.5279787405077968,0.003912979611316,0.0057846210047667,0.3109021186828613,6.8828125,4.21969747543335,-2.375,11.6875,True,5b9241630f1cf0b173fb06d1e76096e5daf5f91c3e51b066ba69524dafe60e35,768,768,30,0.5600699615919998,0.9045280960174578,AUROC,0.1712677223087007,False
bbbp,DoRA,2,30,val_first_batch,encoder.layers.11.self_attn.linear_v,0.5564555430936435,0.8357515488449963,0.9235385129492072,0.0596795110939338,0.5757291202064435,8.712848580357507e-05,0.0009240127531825,0.3109021186828613,6.8828125,4.21969747543335,-2.375,11.6875,True,5b9241630f1cf0b173fb06d1e76096e5daf5f91c3e51b066ba69524dafe60e35,768,768,30,0.5600699615919998,0.9045280960174578,AUROC,0.1712677223087007,False
bbbp,FullFT,0,30,val_first_batch,encoder.layers.11.self_attn.linear_k,0.4571669726719477,0.9566882555243555,0.9938337535542676,0.0109172455459037,0.3200550045510027,0.0004023764166435,0.0009043785347649,0.2151719629764557,7.826171875,4.150705814361572,-1.515625,11.8125,True,5b9241630f1cf0b173fb06d1e76096e5daf5f91c3e51b066ba69524dafe60e35,768,768,30,1.073322950997233,0.8780808640265855,AUROC,0.1026858173664953,False
bbbp,FullFT,0,30,val_first_batch,encoder.layers.11.self_attn.linear_q,0.9999782120009166,0.9999982286148648,0.99999885469345,0.0015075738191977,0.022056096961262,0.0001337143674909,0.0006721082185065,0.2151719629764557,7.826171875,4.150705814361572,-1.515625,11.8125,True,5b9241630f1cf0b173fb06d1e76096e5daf5f91c3e51b066ba69524dafe60e35,768,768,30,1.073322950997233,0.8780808640265855,AUROC,0.1026858173664953,True
bbbp,FullFT,0,30,val_first_batch,encoder.layers.11.self_attn.linear_v,0.5360305812662142,0.8815373555986924,0.982593683516415,0.0138150047965231,0.3554883364164879,0.0004252780133785,0.0038430177874138,0.2151719629764557,7.826171875,4.150705814361572,-1.515625,11.8125,True,5b9241630f1cf0b173fb06d1e76096e5daf5f91c3e51b066ba69524dafe60e35,768,768,30,1.073322950997233,0.8780808640265855,AUROC,0.1026858173664953,False
bbbp,FullFT,1,30,val_first_batch,encoder.layers.11.self_attn.linear_k,0.4383743273148124,0.9738786889878324,0.9979055757831752,0.0087355362663652,0.2864981983399922,0.0004512218514614,0.0010674677143469,1.218887209892273,7.27734375,6.559475421905518,-9.75,11.125,True,5b9241630f1cf0b173fb06d1e76096e5daf5f91c3e51b066ba69524dafe60e35,768,768,30,1.3182773603359517,0.8711482558139535,AUROC,0.0968733770242104,False
bbbp,FullFT,1,30,val_first_batch,encoder.layers.11.self_attn.linear_q,0.9999970549355602,0.9999980515327036,0.9999986945960376,0.0014692933732055,0.0181848080292506,0.0016944659819319,0.0091072074700326,1.218887209892273,7.27734375,6.559475421905518,-9.75,11.125,True,5b9241630f1cf0b173fb06d1e76096e5daf5f91c3e51b066ba69524dafe60e35,768,768,30,1.3182773603359517,0.8711482558139535,AUROC,0.0968733770242104,True
bbbp,FullFT,1,30,val_first_batch,encoder.layers.11.self_attn.linear_v,0.6375158750530691,0.8813898261040509,0.963723113448674,0.0138125833623771,0.355461952224012,0.0001708679799924,0.0013779180781674,1.218887209892273,7.27734375,6.559475421905518,-9.75,11.125,True,5b9241630f1cf0b173fb06d1e76096e5daf5f91c3e51b066ba69524dafe60e35,768,768,30,1.3182773603359517,0.8711482558139535,AUROC,0.0968733770242104,False
bbbp,FullFT,2,30,val_first_batch,encoder.layers.11.self_attn.linear_k,0.9255386225943856,0.998561602732532,0.999996897036859,0.0035845655656852,0.1524238093661699,0.0001644857083182,0.000640534223327,2.234738111495972,4.1484375,7.63528299331665,-8.9375,9.8125,True,5b9241630f1cf0b173fb06d1e76096e5daf5f91c3e51b066ba69524dafe60e35,768,768,30,0.7780456894832455,0.9097790507364976,AUROC,0.1849722412083567,True
bbbp,FullFT,2,30,val_first_batch,encoder.layers.11.self_attn.linear_q,0.9999979438391194,0.99999907308409,0.9999996357235534,0.0013817832011712,0.0089420791962624,0.0021032998128477,0.0117688652725383,2.234738111495972,4.1484375,7.63528299331665,-8.9375,9.8125,True,5b9241630f1cf0b173fb06d1e76096e5daf5f91c3e51b066ba69524dafe60e35,768,768,30,0.7780456894832455,0.9097790507364976,AUROC,0.1849722412083567,True
bbbp,FullFT,2,30,val_first_batch,encoder.layers.11.self_attn.linear_v,0.6951185177640546,0.964106065337576,0.9958965035252364,0.0094602769059094,0.2984947127607473,0.0001125932871168,0.00174061426392,2.234738111495972,4.1484375,7.63528299331665,-8.9375,9.8125,True,5b9241630f1cf0b173fb06d1e76096e5daf5f91c3e51b066ba69524dafe60e35,768,768,30,0.7780456894832455,0.9097790507364976,AUROC,0.1849722412083567,False
bbbp,LoRA,0,30,val_first_batch,encoder.layers.11.self_attn.linear_k,0.3433119849697586,0.8152467922409169,0.9124119148224508,0.0379306342716087,0.5075105726278246,0.0011455023066548,0.0035704594249238,0.0027730523142963,7.98828125,3.4009757041931152,4.5,15.6875,True,5b9241630f1cf0b173fb06d1e76096e5daf5f91c3e51b066ba69524dafe60e35,768,768,30,0.9529637023039798,0.8634034893381335,AUROC,0.2024943622691932,False
bbbp,LoRA,0,30,val_first_batch,encoder.layers.11.self_attn.linear_q,0.9698805273670512,0.9996359830685212,0.9999990029657309,0.0031685435216622,0.1338553017634187,0.0058369059572995,0.0104502327398614,0.0027730523142963,7.98828125,3.4009757041931152,4.5,15.6875,True,5b9241630f1cf0b173fb06d1e76096e5daf5f91c3e51b066ba69524dafe60e35,768,768,30,0.9529637023039798,0.8634034893381335,AUROC,0.2024943622691932,True
bbbp,LoRA,0,30,val_first_batch,encoder.layers.11.self_attn.linear_v,0.758473904303959,0.9617466658809872,0.985264264709731,0.0237795089873967,0.437229173974132,0.0009401253255731,0.0068188895848447,0.0027730523142963,7.98828125,3.4009757041931152,4.5,15.6875,True,5b9241630f1cf0b173fb06d1e76096e5daf5f91c3e51b066ba69524dafe60e35,768,768,30,0.9529637023039798,0.8634034893381335,AUROC,0.2024943622691932,False
bbbp,LoRA,1,30,val_first_batch,encoder.layers.11.self_attn.linear_k,0.5563565300989933,0.8708345076846936,0.9407821584138673,0.0265485913612775,0.4538089351821055,0.0010110287913578,0.00262303576303,0.0058503607288002,8.15625,3.505889415740967,3.6875,12.125,True,5b9241630f1cf0b173fb06d1e76096e5daf5f91c3e51b066ba69524dafe60e35,768,768,30,0.6480260395679719,0.8950581395348837,AUROC,0.217469487142736,False
bbbp,LoRA,1,30,val_first_batch,encoder.layers.11.self_attn.linear_q,0.9900369934643768,0.9999983821083002,0.9999993254033732,0.0023975100240301,0.0918850817811053,0.0041076603712674,0.0070774891894884,0.0058503607288002,8.15625,3.505889415740967,3.6875,12.125,True,5b9241630f1cf0b173fb06d1e76096e5daf5f91c3e51b066ba69524dafe60e35,768,768,30,0.6480260395679719,0.8950581395348837,AUROC,0.217469487142736,True
bbbp,LoRA,1,30,val_first_batch,encoder.layers.11.self_attn.linear_v,0.6985403926664479,0.9560269825169488,0.9798996927763164,0.0213408746817242,0.4209432868025573,0.0009120358202286,0.0069181626081078,0.0058503607288002,8.15625,3.505889415740967,3.6875,12.125,True,5b9241630f1cf0b173fb06d1e76096e5daf5f91c3e51b066ba69524dafe60e35,768,768,30,0.6480260395679719,0.8950581395348837,AUROC,0.217469487142736,False
bbbp,LoRA,2,30,val_first_batch,encoder.layers.11.self_attn.linear_k,0.3916252080380228,0.6971704067147488,0.8824949813099782,0.0266199720518767,0.4542130829613574,0.0004819337893989,0.0015923499497577,0.7403398156166077,5.9921875,4.832314014434815,-5.90625,10.25,True,5b9241630f1cf0b173fb06d1e76096e5daf5f91c3e51b066ba69524dafe60e35,768,768,30,0.6105211553636204,0.9072558647026732,AUROC,0.1982125573998857,False
bbbp,LoRA,2,30,val_first_batch,encoder.layers.11.self_attn.linear_q,0.9999726695806682,0.9999983609649464,0.999998719665371,0.0016135253140234,0.0322791485064648,0.0068646046725854,0.008374612689465,0.7403398156166077,5.9921875,4.832314014434815,-5.90625,10.25,True,5b9241630f1cf0b173fb06d1e76096e5daf5f91c3e51b066ba69524dafe60e35,768,768,30,0.6105211553636204,0.9072558647026732,AUROC,0.1982125573998857,True
bbbp,LoRA,2,30,val_first_batch,encoder.layers.11.self_attn.linear_v,0.6298931986190824,0.8991968222838471,0.9525706341433386,0.0215564468800326,0.4224560827292478,0.0001282087521914,0.0011048053189893,0.7403398156166077,5.9921875,4.832314014434815,-5.90625,10.25,True,5b9241630f1cf0b173fb06d1e76096e5daf5f91c3e51b066ba69524dafe60e35,768,768,30,0.6105211553636204,0.9072558647026732,AUROC,0.1982125573998857,False
esol,DoRA,0,30,val_first_batch,encoder.layers.11.self_attn.linear_k,0.5500497002043444,0.916864818238001,0.959732080520358,0.0628011813709971,0.5834032223753824,0.0067557162406651,0.0118534420235266,0.2850538194179535,-0.61962890625,0.2539489567279815,-0.9765625,-0.294921875,True,5b9241630f1cf0b173fb06d1e76096e5daf5f91c3e51b066ba69524dafe60e35,768,768,30,0.1969056765415839,0.9225197434425354,RMSE,0.116727748078055,False
esol,DoRA,0,30,val_first_batch,encoder.layers.11.self_attn.linear_q,0.9794092630160522,0.9910378165731046,0.9950771296812828,0.0355684061343183,0.4978321654810094,0.0009162376178581,0.0017919193719173,0.2850538194179535,-0.61962890625,0.2539489567279815,-0.9765625,-0.294921875,True,5b9241630f1cf0b173fb06d1e76096e5daf5f91c3e51b066ba69524dafe60e35,768,768,30,0.1969056765415839,0.9225197434425354,RMSE,0.116727748078055,False
esol,DoRA,0,30,val_first_batch,encoder.layers.11.self_attn.linear_v,0.8844861660846037,0.9802903721110016,0.9892478452857012,0.0668477589276617,0.5928020589825678,0.000312305089819,0.0030977934672011,0.2850538194179535,-0.61962890625,0.2539489567279815,-0.9765625,-0.294921875,True,5b9241630f1cf0b173fb06d1e76096e5daf5f91c3e51b066ba69524dafe60e35,768,768,30,0.1969056765415839,0.9225197434425354,RMSE,0.116727748078055,False
esol,DoRA,1,30,val_first_batch,encoder.layers.11.self_attn.linear_k,0.8179769888359542,0.9272124141472472,0.9598797947527806,0.0614569414412362,0.5801464825668283,0.0015301028102163,0.0034190929795763,0.1703665107488632,-0.81640625,1.261928915977478,-2.890625,1.0859375,True,5b9241630f1cf0b173fb06d1e76096e5daf5f91c3e51b066ba69524dafe60e35,768,768,30,0.2343285073127065,0.9172259569168092,RMSE,0.1541441257021068,False
esol,DoRA,1,30,val_first_batch,encoder.layers.11.self_attn.linear_q,0.9642060169982792,0.991529833565519,0.996386142205082,0.0300104743898912,0.4722577094163229,0.0030072925084216,0.0043174974361254,0.1703665107488632,-0.81640625,1.261928915977478,-2.890625,1.0859375,True,5b9241630f1cf0b173fb06d1e76096e5daf5f91c3e51b066ba69524dafe60e35,768,768,30,0.2343285073127065,0.9172259569168092,RMSE,0.1541441257021068,False
esol,DoRA,1,30,val_first_batch,encoder.layers.11.self_attn.linear_v,0.8541454555563485,0.964806939772299,0.9755297172096532,0.0774086878791211,0.6148800065993181,0.0001127060112297,0.0012256377424007,0.1703665107488632,-0.81640625,1.261928915977478,-2.890625,1.0859375,True,5b9241630f1cf0b173fb06d1e76096e5daf5f91c3e51b066ba69524dafe60e35,768,768,30,0.2343285073127065,0.9172259569168092,RMSE,0.1541441257021068,False
esol,DoRA,2,30,val_first_batch,encoder.layers.11.self_attn.linear_k,0.9326827607686772,0.9754737851753044,0.9894420273085186,0.037169566692472,0.504459791108692,0.0003250641226552,0.0031454844012178,0.0972688347101211,0.010528564453125,0.1156095117330551,-0.1923828125,0.09716796875,True,5b9241630f1cf0b173fb06d1e76096e5daf5f91c3e51b066ba69524dafe60e35,768,768,30,0.1186300395056605,0.7221519351005554,RMSE,0.1096262071957498,False
esol,DoRA,2,30,val_first_batch,encoder.layers.11.self_attn.linear_q,0.994142283984962,0.9985972826570954,0.9993746375240796,0.0113776391694998,0.3262722774288255,0.000127505419845,0.0004442068773929,0.0972688347101211,0.010528564453125,0.1156095117330551,-0.1923828125,0.09716796875,True,5b9241630f1cf0b173fb06d1e76096e5daf5f91c3e51b066ba69524dafe60e35,768,768,30,0.1186300395056605,0.7221519351005554,RMSE,0.1096262071957498,False
esol,DoRA,2,30,val_first_batch,encoder.layers.11.self_attn.linear_v,0.861795828132351,0.9746796462581524,0.9893711778893526,0.0621390952471858,0.5818079670445848,0.0002357034927576,0.0016098238708732,0.0972688347101211,0.010528564453125,0.1156095117330551,-0.1923828125,0.09716796875,True,5b9241630f1cf0b173fb06d1e76096e5daf5f91c3e51b066ba69524dafe60e35,768,768,30,0.1186300395056605,0.7221519351005554,RMSE,0.1096262071957498,False
esol,FullFT,0,30,val_first_batch,encoder.layers.11.self_attn.linear_k,0.4370380817622831,0.7612835000241396,0.8801677909913427,0.0545937552941137,0.5623227267162088,0.0005687102226899,0.0015165026089915,0.3695663213729858,-0.51971435546875,0.274529367685318,-0.9140625,-0.08447265625,True,5b9241630f1cf0b173fb06d1e76096e5daf5f91c3e51b066ba69524dafe60e35,768,768,30,0.1252721915952861,0.7358238697052002,RMSE,0.0363907310369927,False
esol,FullFT,0,30,val_first_batch,encoder.layers.11.self_attn.linear_q,0.6635044302780249,0.9813331590587936,0.9999976961569506,0.0068694676245698,0.2503271673868185,0.0005389366532707,0.0030127299342505,0.3695663213729858,-0.51971435546875,0.274529367685318,-0.9140625,-0.08447265625,True,5b9241630f1cf0b173fb06d1e76096e5daf5f91c3e51b066ba69524dafe60e35,768,768,30,0.1252721915952861,0.7358238697052002,RMSE,0.0363907310369927,False
esol,FullFT,0,30,val_first_batch,encoder.layers.11.self_attn.linear_v,0.8348696146046773,0.9657514099944178,0.987600505073739,0.0271650643600773,0.4572640504013742,0.0006086596849193,0.0019150423163583,0.3695663213729858,-0.51971435546875,0.274529367685318,-0.9140625,-0.08447265625,True,5b9241630f1cf0b173fb06d1e76096e5daf5f91c3e51b066ba69524dafe60e35,768,768,30,0.1252721915952861,0.7358238697052002,RMSE,0.0363907310369927,False
esol,FullFT,1,30,val_first_batch,encoder.layers.11.self_attn.linear_k,0.2178497594266548,0.613604818729048,0.8433344988183538,0.0595654544894154,0.5754411850897891,0.0012788543261822,0.0017394366889634,0.3188032507896423,-0.6053466796875,1.435186743736267,-3.21875,1.21875,True,5b9241630f1cf0b173fb06d1e76096e5daf5f91c3e51b066ba69524dafe60e35,768,768,30,0.2219504788517952,0.8926717042922974,RMSE,0.035223705150121,False
esol,FullFT,1,30,val_first_batch,encoder.layers.11.self_attn.linear_q,0.7242519237176264,0.9978719853659564,0.9999985743769144,0.0049242729797277,0.2002187234985417,0.0020387730887458,0.0031513044473794,0.3188032507896423,-0.6053466796875,1.435186743736267,-3.21875,1.21875,True,5b9241630f1cf0b173fb06d1e76096e5daf5f91c3e51b066ba69524dafe60e35,768,768,30,0.2219504788517952,0.8926717042922974,RMSE,0.035223705150121,True
