backbone,dataset,method,lora_alpha,seed,protocol,metric_type,task_type,n7_metric,alpha16_baseline_metric,paired_bad_diff_vs_alpha16,direction,n7_checkpoint,alpha16_baseline_checkpoint
cmpnn,esol,dora,8,0,scaffold,rmse,regression,0.739568,0.75785,-0.01828200000000002,positive = alpha variant worse than alpha=16 baseline in bad-space,dumped/n7_alpha_sensitivity_esol_dora_alpha8_cmpnn_scaffold_seed0/run_0/model_0/model.pt,dumped/baseline_esol_dora_scaffold_seed0/run_0/model_0/model.pt
cmpnn,esol,dora,8,1,scaffold,rmse,regression,0.732237,0.770888,-0.03865099999999999,positive = alpha variant worse than alpha=16 baseline in bad-space,dumped/n7_alpha_sensitivity_esol_dora_alpha8_cmpnn_scaffold_seed1/run_0/model_0/model.pt,dumped/baseline_esol_dora_scaffold_seed1/run_0/model_0/model.pt
cmpnn,esol,dora,8,2,scaffold,rmse,regression,0.999149,0.990898,0.008251000000000008,positive = alpha variant worse than alpha=16 baseline in bad-space,dumped/n7_alpha_sensitivity_esol_dora_alpha8_cmpnn_scaffold_seed2/run_0/model_0/model.pt,dumped/baseline_esol_dora_scaffold_seed2/run_0/model_0/model.pt
cmpnn,esol,dora,32,0,scaffold,rmse,regression,0.718241,0.75785,-0.039609000000000005,positive = alpha variant worse than alpha=16 baseline in bad-space,dumped/n7_alpha_sensitivity_esol_dora_alpha32_cmpnn_scaffold_seed0/run_0/model_0/model.pt,dumped/baseline_esol_dora_scaffold_seed0/run_0/model_0/model.pt
cmpnn,esol,dora,32,1,scaffold,rmse,regression,0.736039,0.770888,-0.03484900000000002,positive = alpha variant worse than alpha=16 baseline in bad-space,dumped/n7_alpha_sensitivity_esol_dora_alpha32_cmpnn_scaffold_seed1/run_0/model_0/model.pt,dumped/baseline_esol_dora_scaffold_seed1/run_0/model_0/model.pt
cmpnn,esol,dora,32,2,scaffold,rmse,regression,0.996211,0.990898,0.005313000000000012,positive = alpha variant worse than alpha=16 baseline in bad-space,dumped/n7_alpha_sensitivity_esol_dora_alpha32_cmpnn_scaffold_seed2/run_0/model_0/model.pt,dumped/baseline_esol_dora_scaffold_seed2/run_0/model_0/model.pt
cmpnn,lipo,lora,8,0,scaffold,rmse,regression,0.618641,0.654229,-0.03558799999999995,positive = alpha variant worse than alpha=16 baseline in bad-space,dumped/n7_alpha_sensitivity_lipo_lora_alpha8_cmpnn_scaffold_seed0/run_0/model_0/model.pt,dumped/baseline_lipo_lora_scaffold_seed0/run_0/model_0/model.pt
cmpnn,lipo,lora,8,1,scaffold,rmse,regression,0.616823,0.641112,-0.024289000000000005,positive = alpha variant worse than alpha=16 baseline in bad-space,dumped/n7_alpha_sensitivity_lipo_lora_alpha8_cmpnn_scaffold_seed1/run_0/model_0/model.pt,dumped/baseline_lipo_lora_scaffold_seed1/run_0/model_0/model.pt
cmpnn,lipo,lora,8,2,scaffold,rmse,regression,0.687238,0.653554,0.03368400000000005,positive = alpha variant worse than alpha=16 baseline in bad-space,dumped/n7_alpha_sensitivity_lipo_lora_alpha8_cmpnn_scaffold_seed2/run_0/model_0/model.pt,dumped/baseline_lipo_lora_scaffold_seed2/run_0/model_0/model.pt
cmpnn,lipo,lora,32,0,scaffold,rmse,regression,0.61133,0.654229,-0.04289899999999991,positive = alpha variant worse than alpha=16 baseline in bad-space,dumped/n7_alpha_sensitivity_lipo_lora_alpha32_cmpnn_scaffold_seed0/run_0/model_0/model.pt,dumped/baseline_lipo_lora_scaffold_seed0/run_0/model_0/model.pt
cmpnn,lipo,lora,32,1,scaffold,rmse,regression,0.609503,0.641112,-0.031609,positive = alpha variant worse than alpha=16 baseline in bad-space,dumped/n7_alpha_sensitivity_lipo_lora_alpha32_cmpnn_scaffold_seed1/run_0/model_0/model.pt,dumped/baseline_lipo_lora_scaffold_seed1/run_0/model_0/model.pt
cmpnn,lipo,lora,32,2,scaffold,rmse,regression,0.674775,0.653554,0.021221000000000045,positive = alpha variant worse than alpha=16 baseline in bad-space,dumped/n7_alpha_sensitivity_lipo_lora_alpha32_cmpnn_scaffold_seed2/run_0/model_0/model.pt,dumped/baseline_lipo_lora_scaffold_seed2/run_0/model_0/model.pt
cmpnn,lipo,dora,8,0,scaffold,rmse,regression,0.639101,0.627623,0.011477999999999988,positive = alpha variant worse than alpha=16 baseline in bad-space,dumped/n7_alpha_sensitivity_lipo_dora_alpha8_cmpnn_scaffold_seed0/run_0/model_0/model.pt,dumped/baseline_lipo_dora_scaffold_seed0/run_0/model_0/model.pt
cmpnn,lipo,dora,8,1,scaffold,rmse,regression,0.648351,0.613169,0.03518200000000005,positive = alpha variant worse than alpha=16 baseline in bad-space,dumped/n7_alpha_sensitivity_lipo_dora_alpha8_cmpnn_scaffold_seed1/run_0/model_0/model.pt,dumped/baseline_lipo_dora_scaffold_seed1/run_0/model_0/model.pt
cmpnn,lipo,dora,8,2,scaffold,rmse,regression,0.674815,0.665076,0.009739000000000053,positive = alpha variant worse than alpha=16 baseline in bad-space,dumped/n7_alpha_sensitivity_lipo_dora_alpha8_cmpnn_scaffold_seed2/run_0/model_0/model.pt,dumped/baseline_lipo_dora_scaffold_seed2/run_0/model_0/model.pt
